activity,integration_id,count
2TR Football,getactive-london,6
50+ Exercise,getactive-london,140
50+ Exercise,opensessions,2
Ab Attack,getactive-london,18
Abs Blast,gladstone-newham,7
"Abs, Bums & Thighs  (ABT)",ourparks,1491
Abseiling,getactive-london,1
Acrobatic Gymnastics,getactive-london,12
Acrobatic Rock and Roll,getactive-london,1
Acrobatics,getactive-hampshire-and-isle-of-wight-spreadsheet,1
Acrobatics,getactive-london,9
Active Pump,getactive-london,6
adventure play grounds,getactive-london,1
Aerial Dance,getactive-london,1
Aerobics,getactive-essex-spreadsheet,8
Aerobics,getactive-london,243
Aerobics,girls-move-london-spreadsheet,3
Aerobics,gloucestershire-spreadsheet,1
Aerobics,opensessions,1
"Aerobics, Circuit Training, Gym",getactive-essex-spreadsheet,6
"Aerobics, Keep Fit, Martial Arts, Karate",getactive-essex-spreadsheet,1
"Aerobics, Yoga, Gym, Yoga, Boxing",getactive-essex-spreadsheet,1
AfroBics,ourparks,48
Agility Circuit,ourparks,2
Aikido,getactive-hampshire-and-isle-of-wight-spreadsheet,3
Aikido,getactive-london,40
Aikido,opensessions,4
Aiki Jutsu,getactive-london,3
Aikikai Aikido,opensessions,1
American football,girls-move-london-spreadsheet,1
American Football,getactive-hampshire-and-isle-of-wight-spreadsheet,1
American Football,getactive-london,17
American Football,girls-move-london-spreadsheet,1
"American Football, American Football",getactive-essex-spreadsheet,3
Angling,getactive-essex-spreadsheet,11
Angling,getactive-hampshire-and-isle-of-wight-spreadsheet,4
Angling,getactive-london,18
Angling,gloucestershire-spreadsheet,2
"Angling, Coarse Fishing",getactive-hampshire-and-isle-of-wight-spreadsheet,1
Animal Movement,getactive-london,2
Antenatal class,girls-move-london-spreadsheet,2
Antenatal classes - movement-based Active Birth...,getactive-london,6
Aqua,getactive-london,8
Aqua Aerobics,getactive-london,107
Aqua Aerobics,girls-move-london-spreadsheet,4
Aqua (Custom),iwillifyouwill,1
Aqua Natal,getactive-london,1
Aquathlon,getactive-london,3
Aquatics,getactive-essex-spreadsheet,18
Aquatics,getactive-london,5
Aquatic Sports,opensessions,1
Archery,getactive-essex-spreadsheet,4
Archery,getactive-hampshire-and-isle-of-wight-spreadsheet,16
Archery,getactive-london,68
Archery,gloucestershire-spreadsheet,2
Archery,opensessions,1
"Archery, Archery",getactive-essex-spreadsheet,22
"Archery, Table Tennis",gloucestershire-spreadsheet,1
Art,getactive-london,2
