Code,Term (en-GB),Parent term,Alternate name,Type,Source,Tag,Tag,Tag,Setting,Setting,"<- note the terms here are all British (""en-GB"") terms, so we don't need to take into account internationalisation at this stage"
ABSEILING,Abseiling,,,Activity,Recognised Sports List,Adventure,,,Outdoor,,<- example where we define the term
AIKIDO,Aikido,,,Activity,Recognised Sports List,Martial Arts,Combat,,,,"<- example where we link a term to a parent (""Yoga"")"
AMERICAN FOOTBALL,American football,,,Activity,Recognised Sports List,Team,,,,,
ANGLING,Angling,,,Activity,Recognised Sports List,Leisure,Games,,,,
AQUATHON,Aquathon,,,Activity,Recognised Sports List,,,,,,
ARCHERY,Archery,,,Activity,Recognised Sports List,,,,,,<- example where we acknowledge two formal alternative forms of the same term
ARM WRESTLING,Arm Wrestling,,,Activity,Recognised Sports List,,,,,,"<- for multiple alternatives you copy the same values from these 3 columns (A-C) and just change the ""Alternative name"""
ATHLETICS,Athletics,,,Activity,Recognised Sports List,Multi,,,,,
,Track and Field,Athletics,,Discipline,,,,,,,
AUSTRALIAN RULES FOOTBALL,Australian Rules Football,,,Activity,Recognised Sports List,Team,,,Outdoor,,
,Australian Rules Football,,AFL,Alternate Name,,Team,,,,,
,Australian Rules Football,,Aussie Rules Football,Alternate Name,,Team,,,,,
,Australian Rules Football,,Aussie Rules,Alternate Name,,Team,,,,,
BADMINTON,Badminton,,,Activity,Recognised Sports List,Racket,,,Outdoor,,
,Outdoor Badminton,Badminton,,Discipline,,Racket,,,Outdoor,,
BALLOONING,Ballooning,,,Activity,Recognised Sports List,,,,,,
BALLROOM DANCING,Ballroom Dancing,,,Activity,Recognised Sports List,Dance,,,,,
,Ballroom Dancing,,Dance Sport,Alternate Name,,Dance,,,,,
,Wheelchair Ballroom Dancing,Ballroom Dancing,,Discipline,,,,,,,
,Wheelchair Ballroom Dancing,,Wheelchair Dance Sport,Alternate Name,,Dance,Disabled,,,,
BASEBALL,Baseball,,,Activity,Recognised Sports List,Team,,,,,
BASKETBALL,Basketball,,,Activity,Recognised Sports List,Team,,,,,
BATON TWIRLING,Baton Twirling,,,Activity,Recognised Sports List,,,,,,
