"Type","Parent Sport","Title","NGBs","Categories","Hidden",,
"Physical Activity","Exercise Class","50+ Classes","-","Exercise, Movement and Dance","No",,
"Sport","Mountaineering","Abseiling","British Mountaineering Council","Extreme Sports, Individual Sports","No",,
"Physical Activity","Acrobatic Sports","Aerial Discipline","-","Acrobatic Sports, Exercise, Movement and Dance","No",,
"Physical Activity","Exercise Class","Aerobics","-","Exercise, Movement and Dance","No",,
"Sport",,"Aikido","British Aikido Board","Combat Sports, Martial Arts","No",,
"Wellbeing",,"Alcoholics Anonymous (AA)","NHS England","Health & Wellbeing","No",,
"Sport","Skiing","Alpine Ski Racing","Snowsport England","Athletic Sports, Extreme Sports, Winter Sports","No",,
"Sport",,"American Football","British American Football Association","Ball Games, Team Sports, Throwing Sports","No",,
"Sport",,"Angling","Angling Trust","Individual Sports, Water Sports","No",,
"Physical Activity","Exercise Class","Aqua ZumbaÂ®","-","Exercise, Movement and Dance, Water Sports","No",," "
"Physical Activity","Exercise Class","AquaFit","-","Exercise, Movement and Dance, Water Sports","No",,
"Sport","Triathlon","Aquathlon","British Triathlon Federation","Athletic Sports, Endurance Sports, Individual Sports, Water Sports","No",,
"Sport",,"Archery","Archery GB","Individual Sports, Olympic/Paralympic Sports, Precision Sports","No",,
"Sport","Gymnastics","Artistic Gymnastics","British Gymnastics","Acrobatic Sports, Individual Sports, Indoor Sports, Olympic/Paralympic Sports, Precision Sports","No",,
"Physical Activity","Yoga","Ashtanga Yoga","-","Exercise, Movement and Dance, Health & Wellbeing","No",,
"Sport",,"Athletics","British Athletics, England Athletics","Athletic Sports, Endurance Sports, Individual Sports, Indoor Sports, Throwing Sports","No",,
"Sport",,"Badminton","Badminton England","Individual Sports, Indoor Sports, Olympic/Paralympic Sports, Racquet Sports, Team Sports, Traditional Sports","No",,
"Physical Activity","Dance","Ballet","-","Exercise, Movement and Dance","No",,
"Physical Activity",,"Ballooning","-","-","Yes",,
"Physical Activity","Dance","Ballroom Dancing","-","Exercise, Movement and Dance","No",,
"Physical Activity",,"BarreConcept","-","Exercise, Movement and Dance","No",,
"Sport",,"Baseball","Baseball Softball UK","Ball Games, Team Sports","No",,
"Sport",,"Basketball","Basketball England","Ball Games, Indoor Sports, Olympic/Paralympic Sports, Street Sports, Team Sports, Traditional Sports","No",,
"Physical Activity",,"Baton Twirling","-","Acrobatic Sports, Exercise, Movement and Dance, Individual Sports, Indoor Sports","No",,
"Sport","Volleyball","Beach Volleyball","Volleyball England","Ball Games, Beach Sports, Olympic/Paralympic Sports, Team Sports","No",,
"Physical Activity","Dance","Belly Dancing","-","Exercise, Movement and Dance","No",,
"Sport","Football","Blind Football","The Football Association","Ball Games, Disability Sports, Team Sports","No",,
"Sport","Cycling","BMX Racing","British Cycling","Extreme Sports, Individual Sports, Olympic/Paralympic Sports","No",,
"Sport","Winter Sports","Bobsleigh","British Bobsleigh Association","Winter Sports","No",,
"Sport",,"Boccia","Boccia England","Ball Games, Disability Sports, Indoor Sports, Precision Sports, Throwing Sports","No",,
"Physical Activity","Exercise Class","Bokwa","-","Exercise, Movement and Dance","No",,
"Physical Activity","Exercise Class","Boogie Bounce","-","Exercise, Movement and Dance","Yes",,
"Physical Activity","Exercise Class","Booiaka","-","Exercise, Movement and Dance","Yes",,
"Physical Activity",,"Boot Camp","-","Health & Wellbeing","No",,
"Sport",,"Bowling","British Tenpin Bowling Association","Ball Games, Individual Sports, Indoor Sports","No",,
"Sport",,"Bowls","Bowls England, British Crown Green Bowling Association, English Indoor Bowling Association","Ball Games, Individual Sports, Olympic/Paralympic Sports, Precision Sports, Team Sports","No",,
"Physical Activity",,"Boxercise","-","Exercise, Movement and Dance","No",,
